id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;popularity
3W50sa1Twg0u4fXnwpAZAZ;Piu' Sexy;Miguel Bosé;206933;377;882;4;-8.502;1;0.0491;257;0.0;338;743;185.549;0
7B283FHU7hIkHlPr1MMcii;Anna (Ana);Miguel Bosé;276667;704;596;2;-12.177;0;0.0314;0.0334;0.0161;0.0956;0.94;127.524;12
7j2jx7L1dbkA0WxyMhbT1Q;Metropoli (Metropolis);Miguel Bosé;228907;676;783;2;-10.104;1;61;419;1.44e-05;186;911;134.087;0
4aQaJ8rVlmmVwmxfon37ce;Indio;Miguel Bosé;248693;718;565;2;-13.103;1;0.0317;0.0877;0.0136;0.0842;721;131.147;0
2onJ5H0eWjwMJ974jFijpl;Ti Amero' (Te Amarè);Miguel Bosé;204600;523;397;3;-13.776;1;0.0332;168;0.0;177;414;75.135;3
3qLx3PW9FY9rLGQOieWMPF;Miraggi;Miguel Bosé;245707;511;544;7;-15.654;0;0.0291;0.000563;222;375;715;161.281;0
5QCmKdyowrHPaHnr5HTVeZ;Al Di La' (Mas Allà);Miguel Bosé;219000;0.43;323;3;-10.217;1;0.0321;0.8;0.0;133;237;124.265;0
7HIpMMsxWXaeMQ48tULESR;Súper Supermán;Miguel Bosé;219800;708;869;2;-11.908;1;0.0339;0.0159;521;178;886;136.539;0
2bwmutSx2Stra2JHj4yi93;Buona Notte Fiorellino;Miguel Bosé;99667;521;465;5;-12.334;1;0.0371;607;0.0;452;829;77.992;0
5SReS8glTZTTLBGQMJJS15;Gente Come Noi;Miguel Bosé;284867;585;393;9;-11.396;1;0.0294;501;0.000434;312;369;135.387;0
3E3NazVf8x52SsmXd0KhjS;Sono Amici (Son Amigos);Miguel Bosé;280760;573;809;9;-9.005;1;0.0485;0.0458;0.00161;285;619;108.962;0
4B6SSk9eSryPm3ucSoH8jg;Che Sia;Miguel Bosé;242267;549;755;2;-12.467;0;31;0.000246;0.0205;193;0.75;158.758;0
4ipKfnmUOEXy9AfSt8nM1E;Crossing Stars;DXM;167535;218;897;4;-6.102;0;0.0717;2.6e-06;857;411;127;75.726;5
4rvx40wKjymAeXNUUxihcV;The Torn, Withered, and Self Medicated;DXM;142082;0.25;824;7;-6.489;1;165;1.07e-05;161;555;286;140.199;5
1jw8pE3dAXjvVrnGpStsMk;A Concious Action;DXM;128805;308;828;6;-6.202;0;0.0609;8.04e-05;0.00236;332;702;81.59;5
0HbqnFdNF7SaXbouKydVc8;The Virus;DXM;134681;212;931;9;-6.14;1;261;7.42e-06;0.0257;346;0.71;83.553;5
7xKe1nDLTvPyDr6RuldSxq;Surrender;DXM;283683;257;759;0;-6.454;1;0.0686;9.7e-06;775;205;244;74.29;5
1B68B5kEv8M0aQewGTw0dF;Cien Abriles;Guardianes Del Amor;158907;388;797;5;-2.03;1;0.03;127;0.0;174;397;151.23;2
7BhX2fG4FQceYSrqtPSNri;Amor Se Escribe Con Llanto;Guardianes Del Amor;190560;667;739;4;-3.02;0;0.0482;724;2.72e-06;287;815;78.822;3
6fkvAMbrMDbyxEDQDXohMr;El Perro, el Gato y Yo;Guardianes Del Amor;218267;697;923;5;-2.866;1;228;683;1.95e-06;0.0908;961;158.126;1
